segment1	segment2	dist
e	ɨ	0.8347826086956522
e	ʝ	0.9545454545454546
e	k	0.94375
e	l	0.8928571428571429
e	m	0.8951048951048951
e	n	0.9651741293532339
e	ŋ	0.9461538461538461
e	o	0.7232142857142857
e	O	0.9
e	ō	0.7964601769911505
e	œ	0.7821782178217822
e	ɔ	0.8584905660377359
e	p	0.9162011173184358
e	r	0.8928571428571429
e	s	0.9507042253521126
e	š	0.9548387096774194
e	t	0.9593023255813954
e	u	0.853448275862069
e	ū	0.8859649122807017
e	v	0.9079754601226994
e	ʌ	0.5242718446601942
e	w	0.905982905982906
e	x	0.9461077844311377
e	y	0.7606837606837606
e	z	0.9593023255813954
e	ž	0.9556962025316456
e	θ	0.9617486338797814
ē	ä	0.524390243902439
ē	ā	0.7777777777777778
ē	æ	0.6630434782608696
ē	b	0.9166666666666666
ē	c	0.948905109489051
ē	č	0.9477611940298507
ē	d	0.9619565217391304
ē	ð	0.9593023255813954
ē	e	0.38541666666666663
ē	ē	0
ē	ɛ	0.6605504587155964
ē	f	0.9006622516556292
ē	g	0.9415584415584416
ē	h	0.9047619047619048
ē	i	0.6632653061224489
ē	ī	0.5294117647058824
ē	ɨ	0.77
ē	ʝ	0.951048951048951
ē	k	0.9395973154362416
ē	l	0.8837209302325582
ē	m	0.8863636363636364
ē	n	0.9631578947368421
ē	ŋ	0.9411764705882353
ē	o	0.7889908256880733
ē	O	0.865979381443299
ē	ō	0.7244897959183674
ē	œ	0.6976744186046512
ē	ɔ	0.8888888888888888
ē	p	0.9107142857142857
ē	r	0.8837209302325582
ē	s	0.9465648854961832
ē	š	0.9513888888888888
ē	t	0.9565217391304348
ē	u	0.8807339449541285
ē	ū	0.8514851485148515
ē	v	0.9013157894736842
ē	ʌ	0.6944444444444444
ē	w	0.9166666666666666
ē	x	0.9423076923076923
ē	y	0.8035714285714286
ē	z	0.9565217391304348
ē	ž	0.9523809523809523
ē	θ	0.9593023255813954
ɛ	ä	0.8173076923076923
ɛ	ā	0.9019607843137255
ɛ	æ	0.75
ɛ	b	0.8411764705882353
ɛ	c	0.9022556390977443
ɛ	č	0.8828125
ɛ	d	0.9277777777777778
ɛ	ð	0.9226190476190477
ɛ	e	0.5462962962962963
ɛ	ē	0.6605504587155964
ɛ	ɛ	0
ɛ	f	0.8085106382978724
ɛ	g	0.8775510204081632
ɛ	h	0.8102189781021898
ɛ	i	0.7333333333333334
ɛ	ī	0.7904761904761904
ɛ	ɨ	0.8839285714285714
ɛ	ʝ	0.8905109489051095
ɛ	k	0.8732394366197183
ɛ	l	0.9496402877697842
ɛ	m	0.7786885245901639
ɛ	n	0.9301075268817205
ɛ	ŋ	0.8672566371681416
ɛ	o	0.8347826086956522
ɛ	O	0.9333333333333333
ɛ	ō	0.8660714285714286
ɛ	œ	0.86
ɛ	ɔ	0.912621359223301
ɛ	p	0.8291139240506329
ɛ	r	0.9496402877697842
ɛ	s	0.8976377952755905
ɛ	š	0.8913043478260869
ɛ	t	0.9171974522292994
ɛ	u	0.9026548672566371
ɛ	ū	0.9174311926605505
ɛ	v	0.8098591549295775
ɛ	ʌ	0.7456140350877193
ɛ	w	0.7857142857142857
ɛ	x	0.8791946308724832
ɛ	y	0.4719101123595506
ɛ	z	0.9171974522292994
ɛ	ž	0.8936170212765957
ɛ	θ	0.9226190476190477
f	ä	0.9485294117647058
f	ā	0.9767441860465116
f	æ	0.9492753623188406
f	b	0.6927710843373494
f	c	0.6719999999999999
f	č	0.8188405797101449
f	d	0.8296703296703296
f	ð	0.6232876712328768
f	e	0.9074074074074074
f	ē	0.9006622516556292
f	ɛ	0.8085106382978724
f	f	0
f	g	0.9053254437869822
f	h	0.7291666666666667
f	i	0.952054794520548
f	ī	0.95
f	ɨ	0.9788732394366197
f	ʝ	0.868421052631579
f	k	0.875
f	l	0.8472222222222222
f	m	0.7388059701492538
f	n	0.7556818181818181
f	ŋ	0.927536231884058
f	o	0.9523809523809523
f	O	0.9767441860465116
f	ō	0.95
f	œ	0.9448818897637795
f	ɔ	0.9767441860465116
f	p	0.5763888888888888
f	r	0.8472222222222222
f	s	0.8652482269503546
f	š	0.708955223880597
f	t	0.7581699346405228
f	u	0.9787234042553191
f	ū	0.9777777777777777
f	v	0.39830508474576276
f	ʌ	0.9551282051282052
f	w	0.946969696969697
f	x	0.8089171974522293
f	y	0.8936170212765957
f	z	0.6713286713286714
f	ž	0.8027210884353742
f	θ	0.6232876712328768
g	ä	0.9705882352941176
g	ā	0.9512195121951219
g	æ	0.9710144927536232
g	b	0.6951219512195121
g	c	0.9276315789473684
g	č	0.8405797101449275
g	d	0.8135593220338984
g	ð	0.9060773480662984
g	e	0.9454545454545454
g	ē	0.9415584415584416
g	ɛ	0.8775510204081632
g	f	0.9053254437869822
g	g	0
g	h	0.8819875776397516
g	i	0.9130434782608696
g	ī	0.9090909090909091
g	ɨ	0.8548387096774194
g	ʝ	0.7664233576642336
g	k	0.36111111111111116
g	l	0.9205298013245033
g	m	0.8057553956834532
g	n	0.8691099476439791
g	ŋ	0.45744680851063835
g	o	0.9366197183098591
g	O	0.968
g	ō	0.9333333333333333
