base	variation	lemma_freq_corrected	string	log_odds	ranef
haragszik	lakok/lakom	129179	harags	-2.9124041419806574	NA
harangozik	lakok/lakom	13662	harangoz	0.4795730802618863	NA
hatódik	lakok/lakom	3690	hatód	0.6931471805599453	NA
haverkodik	lakok/lakom	3524	haverkod	1.7147984280919266	NA
házasodik	lakok/lakom	48749	házašod	-0.2652811357626143	NA
hazudozik	lakok/lakom	13233	hazudoz	1.3096611350989746	NA
helyezkedik	lakok/lakom	435311	hejezked	-0.41117125768501905	NA
hiányzik	lakok/lakom	686890	hiáṉz	-1.0136319583653617	NA
hibázik	lakok/lakom	154009	hibáz	1.288276437049979	NA
hintázik	lakok/lakom	9317	hintáz	0.2651077504132419	NA
hiszik	lakok/lakom	3584445	his	-0.15415067982725836	NA
hivalkodik	lakok/lakom	3478	hivalkod	-1.01160091167848	NA
hivatkozik	lakok/lakom	508241	hivatkoz	-1.403092923615961	NA
hízik	lakok/lakom	63813	híz	0.807993356543019	NA
hozakodik	lakok/lakom	6156	hozakod	-0.7877355992358605	NA
hüledezik	lakok/lakom	4646	hüledez	3.20545280453606	NA
hülyéskedik	lakok/lakom	8587	hüjéšked	2.9938073451444067	NA
húzódik	lakok/lakom	188010	húzód	0	NA
húzódozik	lakok/lakom	2929	húzódoz	-1.423108334242607	NA
idegenkedik	lakok/lakom	24833	idegenked	-0.5875306157392811	NA
idegeskedik	lakok/lakom	17271	idegešked	1.0419399015691988	NA
idősödik	lakok/lakom	4870	időšöd	-2.125961557314729	NA
időzik	lakok/lakom	38358	időz	0.8954999622050813	NA
igazodik	lakok/lakom	195863	igazod	-0.07458194325035862	NA
ígérkezik	lakok/lakom	66458	ígérkez	0.28768207245178085	NA
igyekszik	lakok/lakom	1372052	iḏeks	-3.6522821831887295	NA
imádkozik	lakok/lakom	319092	imádkoz	-2.575321698926278	NA
ingadozik	lakok/lakom	33254	ingadoz	-0.8109302162163288	NA
iparkodik	lakok/lakom	13706	iparkod	-0.8960880245566356	NA
irigykedik	lakok/lakom	28990	iriḏked	-0.5102415115998503	NA
irtózik	lakok/lakom	15667	irtóz	-2.2502082574884557	NA
ismerkedik	lakok/lakom	344220	išmerked	0.01262465918950368	NA
ismerszik	lakok/lakom	7941	išmers	0.28768207245178085	NA
iszik	lakok/lakom	651299	is	1.203972804325936	NA
iszik	lakok/lakom	651311	is	-1.528790696382441	NA
iszonyodik	lakok/lakom	3335	isoṉod	-1.8718021769015911	NA
ítélkezik	lakok/lakom	42419	ítélkez	-0.8710341402860342	NA
izmosodik	lakok/lakom	4740	izmošod	-0.42050298547270487	NA
játszadozik	lakok/lakom	20243	játsadoz	-1.4563619237366077	NA
játszik	lakok/lakom	2672605	játs	-1.192321386234292	NA
játszódik	lakok/lakom	142955	játsód	0.3483066942682158	NA
jelentkezik	lakok/lakom	1317571	jelentkez	-1.7992245780132547	NA
jeleskedik	lakok/lakom	26740	jelešked	-0.11980119981262063	NA
jógázik	lakok/lakom	17732	jógáz	-1.439891547128869	NA
jóllakik	lakok/lakom	27189	jóllak	1.791759469228055	NA
kacérkodik	lakok/lakom	13978	kacérkod	-1.099726494911513	NA
kajakozik	lakok/lakom	4622	kajakoz	-0.63372376008914455	NA
kallódik	lakok/lakom	5181	kallód	0.25131442828090617	NA
kapálódzik	lakok/lakom	6110	kapálódz	0.4177352006999788	NA
kaparászik	lakok/lakom	2081	kaparás	-0.4054651081081645	NA
kapaszkodik	lakok/lakom	113682	kapaskod	-0.6669634779442181	NA
