var_p	var_s	variation	string	resp1	resp2	log_odds	gcm
2	0.7	hotelban/hotelben	kábes	11	15	-0.2876820724517809	0.5091115286402126
2	0.7	hotelban/hotelben	kadér	19	8	0.7985076962177716	0.5695555393060976
2	0.7	hotelban/hotelben	kalhés	13	14	-0.06899287148695143	0.5556217755852619
2	0.7	hotelban/hotelben	kalréz	16	13	0.1941560144409574	0.5450882571174874
2	0.7	hotelban/hotelben	kasép	11	16	-0.3483066942682157	0.564473148987068
2	0.7	hotelban/hotelben	kátéd	19	10	0.5978370007556204	0.5478282419980472
2	0.7	hotelban/hotelben	kátel	4	22	-1.5260563034950494	0.5065902873852228
2	0.7	hotelban/hotelben	klajrén	17	12	0.32542240043462795	0.5383063160076508
2	0.7	hotelban/hotelben	klazér	16	13	0.1941560144409574	0.5567499792231327
2	0.7	hotelban/hotelben	klinges	3	26	-1.9095425048844383	0.4977156511233783
2	0.7	hotelban/hotelben	kliser	3	24	-1.8325814637483104	0.5045825593759833
2	0.7	hotelban/hotelben	klíteḏ	4	25	-1.6486586255873816	0.5085717784377995
2	0.7	hotelban/hotelben	klordéṉ	14	13	0.06899287148695142	0.5233895037177527
2	0.7	hotelban/hotelben	klošét	18	8	0.7472144018302211	0.5421311329726267
2	0.7	hotelban/hotelben	kluhéj	19	10	0.5978370007556204	0.55234595138301
2	0.7	hotelban/hotelben	liceḏ	2	24	-2.120263536200091	0.5107247787584293
2	0.7	hotelban/hotelben	lihéṉ	2	25	-2.159484249353372	0.5541515055420158
2	0.7	hotelban/hotelben	lijez	2	27	-2.2335922215070942	0.5104483505720713
2	0.7	hotelban/hotelben	lingék	3	26	-1.9095425048844383	0.5295532817903117
2	0.7	hotelban/hotelben	lišmév	3	23	-1.791759469228055	0.5285806147847097
2	0.7	hotelban/hotelben	lorzenš	5	22	-1.3437347467010947	0.45799882460702707
2	0.7	hotelban/hotelben	luméz	14	13	0.06899287148695142	0.5540619490067821
2	0.7	hotelban/hotelben	mádép	18	9	0.6418538861723947	0.5426139725197654
